university,year,rank_display,link,country,city,region,type,research_output,student_faculty_ratio,international_students,size,faculty_count,GRE Waiver,GRE Score,IELTS,Toefl,GPA,Tuition and fees,Acceptance Ratio,UID,CID,RID,SID,TID,GRE_ID,RO_ID
University of Aberdeen,2022,205,https://www.topuniversities.com/universities/university-aberdeen,United Kingdom,Aberdeen,Europe,Public,Very High,11.0,"5,544",L,"1,175",Not Applicable,Not Applicable,6.0,116,2.9000000000000004,64949,11.700000000000008,100206,CU2,R2,S2,Type2,GRE2,RA_RO1
RMIT University,2022,206,https://www.topuniversities.com/universities/rmit-university,Australia,Melbourne,Oceania,Public,Very High,18.0,"11,743",XL,"1,859",Not Applicable,Not Applicable,8.0,100,3.3000000000000007,52737,21.000000000000014,100207,CU9,R4,S4,Type2,GRE2,RA_RO1
Universidad Autónoma de Madrid,2022,207,https://www.topuniversities.com/universities/universidad-autonoma-de-madrid,Spain,Madrid,Europe,Public,Very High,10.0,"2,470",L,"2,869",Not Applicable,Not Applicable,7.0,91,3.3000000000000007,54038,14.00000000000001,100208,CU31,R2,S2,Type2,GRE2,RA_RO1
Universite libre de Bruxelles,2022,207,https://www.topuniversities.com/universities/universite-libre-de-bruxelles,Belgium,Brussels,Europe,Public,Very High,23.0,"8,073",L,"1,101",Not Applicable,Not Applicable,9.0,117,2.6,65017,32.40000000000003,100209,CU17,R2,S2,Type2,GRE2,RA_RO1
Universitat Autònoma de Barcelona,2022,209,https://www.topuniversities.com/universities/universitat-autonoma-de-barcelona,Spain,Barcelona,Europe,Public,Very High,15.0,"4,069",XL,"2,132",Not Applicable,Not Applicable,9.0,95,2.9000000000000004,62424,32.70000000000003,100210,CU31,R2,S4,Type2,GRE2,RA_RO1
Vrije Universiteit Amsterdam,2022,209,https://www.topuniversities.com/universities/vrije-universiteit-amsterdam,Netherlands,Amsterdam,Europe,Public,Very High,10.0,"4,059",L,"2,598",Not Applicable,Not Applicable,8.5,100,3.3000000000000007,54064,17.700000000000014,100211,CU13,R2,S2,Type2,GRE2,RA_RO1
Tongji University,2022,211,https://www.topuniversities.com/universities/tongji-university,China (Mainland),Shanghai,Asia,Public,Very High,11.0,"5,095",XL,"2,785",Not Applicable,Not Applicable,8.0,97,2.6,43290,46.40000000000004,100212,CU5,R3,S4,Type2,GRE2,RA_RO1
Ulsan National Institute of Science and Technology (UNIST),2022,212,https://www.topuniversities.com/universities/ulsan-national-institute-science-technology-unist,South Korea,,Asia,Public,Very High,7.0,355,S,518,Not Applicable,Not Applicable,8.5,101,3.400000000000001,61047,26.20000000000002,100213,CU10,R3,S3,Type2,GRE2,RA_RO1
Queensland University of Technology (QUT),2022,213,https://www.topuniversities.com/universities/queensland-university-technology-qut,Australia,Brisbane,Oceania,Public,Very High,17.0,"6,403",XL,"2,028",Not Applicable,Not Applicable,6.0,111,2.6,47638,36.00000000000003,100214,CU9,R4,S4,Type2,GRE2,RA_RO1
Universität Hamburg,2022,214,https://www.topuniversities.com/universities/universitat-hamburg,Germany,Hamburg,Europe,Public,Very High,14.0,"3,626",L,"2,032",Not Applicable,Not Applicable,6.5,103,2.8000000000000003,68702,44.500000000000036,100215,CU12,R2,S2,Type2,GRE2,RA_RO1
Chulalongkorn University,2022,215,https://www.topuniversities.com/universities/chulalongkorn-university,Thailand,Bangkok,Asia,Public,High,10.0,985,XL,"3,354",Not Applicable,Not Applicable,8.0,105,3.400000000000001,37438,25.90000000000002,100216,CU36,R3,S4,Type2,GRE2,RA_RO3
Arizona State University,2022,216,https://www.topuniversities.com/universities/arizona-state-university,United States,Phoenix,North America,Public,Very High,17.0,"8,430",XL,"2,869",Optional,303,7.0,91,3.3000000000000007,46185,16.70000000000001,100217,CU1,R1,S4,Type2,GRE1,RA_RO1
Queen's University Belfast,2022,216,https://www.topuniversities.com/universities/queens-university-belfast,United Kingdom,,Europe,Public,Very High,10.0,"7,397",L,"1,951",Not Applicable,Not Applicable,8.0,93,3.2000000000000006,57131,27.40000000000002,100218,CU2,R2,S2,Type2,GRE2,RA_RO1
Vanderbilt University,2022,218,https://www.topuniversities.com/universities/vanderbilt-university,United States,Nashville,North America,Private,Very High,3.0,"2,022",L,"4,473",Optional,329,8.0,92,3.1000000000000005,43634,36.80000000000003,100219,CU1,R1,S2,Type1,GRE1,RA_RO1
Universidade Estadual de Campinas (Unicamp),2022,219,https://www.topuniversities.com/universities/universidade-estadual-de-campinas-unicamp,Brazil,Campinas,Latin America,Public,Very High,15.0,944,L,"1,875",Not Applicable,Not Applicable,7.0,96,2.8000000000000003,29298,15.300000000000011,100220,CU27,R5,S2,Type2,GRE2,RA_RO1
Radboud University ,2022,220,https://www.topuniversities.com/universities/radboud-university,Netherlands,Nijmegen,Europe,Public,Very High,11.0,"2,781",L,"2,074",Not Applicable,Not Applicable,8.0,109,2.8000000000000003,43858,22.600000000000016,100221,CU13,R2,S2,Type2,GRE2,RA_RO1
Vrije Universiteit Brussel (VUB),2022,221,https://www.topuniversities.com/universities/vrije-universiteit-brussel-vub,Belgium,Brussels,Europe,Public,Very High,7.0,"2,994",L,"1,815",Not Applicable,Not Applicable,6.5,91,3.400000000000001,37261,24.30000000000002,100222,CU17,R2,S2,Type2,GRE2,RA_RO1
University of Notre Dame,2022,222,https://www.topuniversities.com/universities/university-notre-dame,United States,Notre Dame,North America,Private,Very High,8.0,"1,484",L,"1,545",No,Not Required,7.0,91,3.2000000000000006,47208,39.20000000000003,100223,CU1,R1,S2,Type1,GRE4,RA_RO1
Complutense University of Madrid,2022,223,https://www.topuniversities.com/universities/complutense-university-madrid,Spain,Madrid,Europe,Public,Very High,13.0,"7,295",XL,"4,778",Not Applicable,Not Applicable,7.0,112,2.5,35494,10.000000000000007,100224,CU31,R2,S4,Type2,GRE2,RA_RO1
Qatar University,2022,224,https://www.topuniversities.com/universities/qatar-university,Qatar,Doha,Asia,Public,Very High,8.0,"3,197",M,"1,163",Not Applicable,Not Applicable,6.5,98,3.3000000000000007,69216,46.000000000000036,100225,CU37,R3,S1,Type2,GRE2,RA_RO1
Wuhan University,2022,225,https://www.topuniversities.com/universities/wuhan-university,China (Mainland),Wuhan,Asia,Public,Very High,14.0,"3,682",XL,"3,828",Not Applicable,Not Applicable,7.0,109,3.2000000000000006,51300,16.70000000000001,100226,CU5,R3,S4,Type2,GRE2,RA_RO1
Rheinische Friedrich-Wilhelms-Universität Bonn,2022,226,https://www.topuniversities.com/universities/rheinische-friedrich-wilhelms-universitat-bonn,Germany,Bonn,Europe,Public,Very High,5.0,"3,276",L,"4,207",Not Applicable,Not Applicable,9.0,107,2.7,61403,10.100000000000007,100227,CU12,R2,S2,Type2,GRE2,RA_RO1
University of Cape Town,2022,226,https://www.topuniversities.com/universities/university-cape-town,South Africa,Cape Town,Africa,Public,Very High,14.0,"3,204",L,"1,503",Not Applicable,Not Applicable,6.0,100,3.0000000000000004,64103,25.30000000000002,100228,CU38,R6,S2,Type2,GRE2,RA_RO1
University of Sussex,2022,226,https://www.topuniversities.com/universities/university-sussex,United Kingdom,Brighton,Europe,Public,Very High,14.0,"6,350",L,"1,320",Not Applicable,Not Applicable,7.5,97,3.1000000000000005,46401,21.700000000000017,100229,CU2,R2,S2,Type2,GRE2,RA_RO1
University of Virginia,2022,226,https://www.topuniversities.com/universities/university-virginia,United States,Charlottesville,North America,Public,Very High,8.0,"2,201",L,"2,731",Optional,312,8.5,117,2.8000000000000003,31427,8.200000000000005,100230,CU1,R1,S2,Type2,GRE1,RA_RO1
University of Ottawa,2022,230,https://www.topuniversities.com/universities/university-ottawa,Canada,Ottawa,North America,Public,Very High,22.0,"8,885",XL,"1,677",Not Applicable,Not Applicable,8.0,115,2.9000000000000004,50663,14.40000000000001,100231,CU8,R1,S4,Type2,GRE2,RA_RO1
Loughborough University,2022,231,https://www.topuniversities.com/universities/loughborough-university,United Kingdom,Loughborough,Europe,Public,Very High,12.0,"4,540",L,"1,445",Not Applicable,Not Applicable,7.5,102,2.5,45514,4.600000000000001,100232,CU2,R2,S2,Type2,GRE2,RA_RO1
"University of California, Irvine",2022,232,https://www.topuniversities.com/universities/university-california-irvine,United States,Irvine,North America,Public,Very High,13.0,"9,323",XL,"2,775",Optional,297,8.5,94,2.9000000000000004,51710,18.500000000000014,100233,CU1,R1,S4,Type2,GRE1,RA_RO1
Maastricht University ,2022,233,https://www.topuniversities.com/universities/maastricht-university,Netherlands,Maastricht,Europe,Public,Very High,13.0,"10,425",L,"1,418",Not Applicable,Not Applicable,6.5,117,2.8000000000000003,66121,43.10000000000004,100234,CU13,R2,S2,Type2,GRE2,RA_RO1
University of Antwerp,2022,233,https://www.topuniversities.com/universities/university-antwerp,Belgium,Antwerp,Europe,Public,Very High,9.0,"2,688",L,"1,704",Not Applicable,Not Applicable,9.0,92,3.2000000000000006,58360,28.300000000000022,100235,CU17,R2,S2,Type2,GRE2,RA_RO1
University of Calgary,2022,235,https://www.topuniversities.com/universities/university-calgary,Canada,Calgary,North America,Public,Very High,12.0,"6,791",XL,"2,668",Not Applicable,Not Applicable,6.5,114,2.5,69993,5.3000000000000025,100236,CU8,R1,S4,Type2,GRE2,RA_RO1
Harbin Institute of Technology,2022,236,https://www.topuniversities.com/universities/harbin-institute-technology,China (Mainland),Harbin,Asia,Public,Very High,9.0,"2,102",XL,"3,215",Not Applicable,Not Applicable,9.0,94,3.400000000000001,62064,32.70000000000003,100237,CU5,R3,S4,Type2,GRE2,RA_RO1
Universidad de los Andes,2022,236,https://www.topuniversities.com/universities/universidad-de-los-andes,Colombia,Bogotá,Latin America,Private,High,13.0,151,L,"1,223",Not Applicable,Not Applicable,7.0,96,3.0000000000000004,51636,20.400000000000016,100238,CU39,R5,S2,Type1,GRE2,RA_RO3
University of Leicester,2022,236,https://www.topuniversities.com/universities/university-leicester,United Kingdom,Leicester,Europe,Public,Very High,10.0,"4,919",L,"1,518",Not Applicable,Not Applicable,7.0,107,3.400000000000001,63291,5.000000000000002,100239,CU2,R2,S2,Type2,GRE2,RA_RO1
Victoria University of Wellington,2022,236,https://www.topuniversities.com/universities/victoria-university-wellington,New Zealand,"Kelburn, Wellington",Oceania,Public,Very High,16.0,"3,668",L,"1,124",Not Applicable,Not Applicable,6.0,94,2.5,29828,19.000000000000014,100240,CU20,R4,S2,Type2,GRE2,RA_RO1
Queen's University at Kingston,2022,240,https://www.topuniversities.com/universities/queens-university-kingston,Canada,Kingston,North America,Public,Very High,19.0,"3,858",L,"1,287",Not Applicable,Not Applicable,6.0,114,2.7,50598,5.3000000000000025,100241,CU8,R1,S2,Type2,GRE2,RA_RO1
USI - Università della Svizzera italiana,2022,240,https://www.topuniversities.com/universities/usi-universita-della-svizzera-italiana,Switzerland,Lugano,Europe,Public,Very High,7.0,"1,864",S,869,Not Applicable,Not Applicable,6.0,96,3.0000000000000004,40827,38.80000000000003,100242,CU3,R2,S3,Type2,GRE2,RA_RO1
American University of Beirut (AUB),2022,242,https://www.topuniversities.com/universities/american-university-beirut-aub,Lebanon,Beirut ,Asia,Private,Very High,8.0,"1,724",M,964,Not Applicable,Not Applicable,9.0,104,2.8000000000000003,56743,14.00000000000001,100243,CU40,R3,S1,Type1,GRE2,RA_RO1
Saint Petersburg State University,2022,242,https://www.topuniversities.com/universities/saint-petersburg-state-university,Russia,Saint Petersburg,Europe,Public,Very High,8.0,"4,982",L,"3,054",Not Applicable,Not Applicable,9.0,100,3.2000000000000006,69229,38.30000000000003,100244,CU18,R2,S2,Type2,GRE2,RA_RO1
Università di Padova,2022,242,https://www.topuniversities.com/universities/universita-di-padova,Italy,Padova,Europe,Public,Very high,17.0,"2,654",XL,"2,806",Not Applicable,Not Applicable,6.5,101,2.9000000000000004,43475,27.50000000000002,100245,CU29,R2,S4,Type2,GRE2,RA_RO2
Ecole des Ponts ParisTech,2022,245,https://www.topuniversities.com/universities/ecole-des-ponts-paristech,France,Paris,Europe,Public,Very High,6.0,735,S,338,Not Applicable,Not Applicable,6.0,109,2.9000000000000004,38084,29.600000000000023,100246,CU11,R2,S3,Type2,GRE2,RA_RO1
Novosibirsk State University,2022,246,https://www.topuniversities.com/universities/novosibirsk-state-university,Russia,Novosibirsk ,Europe,Public,Very High,6.0,"1,623",M,"1,218",Not Applicable,Not Applicable,9.0,103,3.3000000000000007,64716,18.000000000000014,100247,CU18,R2,S1,Type2,GRE2,RA_RO1
University of Massachusetts Amherst,2022,246,https://www.topuniversities.com/universities/university-massachusetts-amherst,United States,Amherst,North America,Public,Very High,14.0,"3,696",L,"1,852",Yes,332,7.0,94,3.2000000000000006,49170,40.400000000000034,100248,CU1,R1,S2,Type2,GRE3,RA_RO1
Georgetown University,2022,248,https://www.topuniversities.com/universities/georgetown-university,United States,Washington D.C.,North America,Private,Very High,8.0,"3,286",L,"2,009",Optional,325,7.5,117,2.6,58637,45.60000000000004,100249,CU1,R1,S2,Type1,GRE1,RA_RO1
Universitat Pompeu Fabra (Barcelona),2022,248,https://www.topuniversities.com/universities/universitat-pompeu-fabra,Spain,Barcelona,Europe,Public,Very High,16.0,"1,633",L,785,Not Applicable,Not Applicable,8.0,93,3.0000000000000004,30679,26.10000000000002,100250,CU31,R2,S2,Type2,GRE2,RA_RO1
Universiti Brunei Darussalam (UBD),2022,250,https://www.topuniversities.com/universities/universiti-brunei-darussalam-ubd,Brunei,Bandar Seri Begawan,Asia,Public,Very High,6.0,635,S,475,Not Applicable,Not Applicable,9.0,106,2.5,49155,7.200000000000004,100251,CU41,R3,S3,Type2,GRE2,RA_RO1
University of Colorado Boulder,2022,251,https://www.topuniversities.com/universities/university-colorado-boulder,United States,Boulder,North America,Public,Very High,11.0,"2,441",XL,"2,946",Yes,328,8.0,97,3.1000000000000005,51033,36.50000000000003,100252,CU1,R1,S4,Type2,GRE3,RA_RO1
National Cheng Kung University (NCKU),2022,252,https://www.topuniversities.com/universities/national-cheng-kung-university-ncku,Taiwan,Tainan City,Asia,Public,Very High,10.0,"2,656",L,"2,079",Not Applicable,Not Applicable,9.0,109,3.400000000000001,34915,34.90000000000003,100253,CU15,R3,S2,Type2,GRE2,RA_RO1
Yeshiva University,2022,252,https://www.topuniversities.com/universities/yeshiva-university,United States,New York City,North America,Private,Very High,10.0,467,S,471,Optional,325,8.5,116,3.400000000000001,61814,49.80000000000004,100254,CU1,R1,S3,Type1,GRE1,RA_RO1
Gadjah Mada University,2022,254,https://www.topuniversities.com/universities/gadjah-mada-university,Indonesia,Yogyakarta,Asia,Public,High,8.0,738,XL,"4,728",Not Applicable,Not Applicable,7.0,99,2.7,30159,23.80000000000002,100255,CU42,R3,S4,Type2,GRE2,RA_RO3
Indian Institute of Technology Madras (IITM),2022,255,https://www.topuniversities.com/universities/indian-institute-technology-madras-iitm,India,Chennai,Asia,Public,Very High,11.0,94,M,884,Not Applicable,Not Applicable,9.0,114,3.0000000000000004,49065,46.80000000000004,100256,CU33,R3,S1,Type2,GRE2,RA_RO1
Mahidol University,2022,255,https://www.topuniversities.com/universities/mahidol-university,Thailand,Nakhon Pathom,Asia,Public,Very High,7.0,"1,415",L,"3,850",Not Applicable,Not Applicable,7.0,94,2.5,69012,24.30000000000002,100257,CU36,R3,S2,Type2,GRE2,RA_RO1
Tel Aviv University,2022,255,https://www.topuniversities.com/universities/tel-aviv-university,Israel,Tel Aviv,Asia,Public,Very High,22.0,"1,294",L,"1,048",Not Applicable,Not Applicable,7.0,106,3.2000000000000006,48893,39.20000000000003,100258,CU35,R3,S2,Type2,GRE2,RA_RO1
National University of Ireland Galway,2022,258,https://www.topuniversities.com/universities/national-university-ireland-galway,Ireland,Galway,Europe,Public,High,8.0,"3,208",L,"1,835",Not Applicable,Not Applicable,8.0,106,2.7,28631,14.00000000000001,100259,CU22,R2,S2,Type2,GRE2,RA_RO3
Universidad Nacional de Colombia,2022,258,https://www.topuniversities.com/universities/universidad-nacional-de-colombia,Colombia,Bogotá,Latin America,Public,High,14.0,335,XL,"3,055",Not Applicable,Not Applicable,7.5,114,3.1000000000000005,65637,47.10000000000004,100260,CU39,R5,S4,Type2,GRE2,RA_RO3
University of Canterbury | Te Whare Wānanga o Waitaha,2022,258,https://www.topuniversities.com/universities/university-canterbury-te-whare-wananga-o-waitaha,New Zealand,Christchurch,Oceania,Public,Very High,17.0,"2,816",L,867,Not Applicable,Not Applicable,8.0,100,3.3000000000000007,42978,36.20000000000003,100261,CU20,R4,S2,Type2,GRE2,RA_RO1
Sun Yat-sen University,2022,260,https://www.topuniversities.com/universities/sun-yat-sen-university,China (Mainland),Guangzhou,Asia,Public,Very High,8.0,"3,127",XL,"7,002",Not Applicable,Not Applicable,6.5,96,3.0000000000000004,27713,48.50000000000004,100262,CU5,R3,S4,Type2,GRE2,RA_RO1
Sciences Po,2022,261,https://www.topuniversities.com/universities/sciences-po,France,Paris,Europe,Public,Very High,6.0,"4,841",M,"1,808",Not Applicable,Not Applicable,6.5,94,2.7,56164,45.10000000000004,100263,CU11,R2,S1,Type2,GRE2,RA_RO1
Université de Paris,2022,261,https://www.topuniversities.com/universities/universite-de-paris,France,Paris,Europe,Public,Very High,17.0,"11,387",XL,"3,755",Not Applicable,Not Applicable,8.0,109,2.9000000000000004,37579,5.200000000000002,100264,CU11,R2,S4,Type2,GRE2,RA_RO1
Kyung Hee University,2022,264,https://www.topuniversities.com/universities/kyung-hee-university,South Korea,,Asia,Private,Very High,7.0,"4,715",L,"3,435",Not Applicable,Not Applicable,7.0,114,2.6,62157,5.200000000000002,100265,CU10,R3,S2,Type1,GRE2,RA_RO1
Rutgers University–New Brunswick,2022,264,https://www.topuniversities.com/universities/rutgers-university-new-brunswick,United States,New Brunswick,North America,Public,Very High,9.0,"7,965",XL,"5,009",Optional,291,6.0,107,2.5,36649,35.00000000000003,100266,CU1,R1,S4,Type2,GRE1,RA_RO1
Charles University,2022,266,https://www.topuniversities.com/universities/charles-university,Czech Republic,Prague,Europe,Public,Very High,9.0,"9,080",XL,"5,019",Not Applicable,Not Applicable,8.5,115,3.1000000000000005,31500,4.800000000000002,100267,CU43,R2,S4,Type2,GRE2,RA_RO1
University of Navarra,2022,266,https://www.topuniversities.com/universities/university-navarra,Spain,Pamplona,Europe,Private,Very High,9.0,"2,978",M,"1,175",Not Applicable,Not Applicable,7.0,102,3.1000000000000005,34451,6.600000000000003,100268,CU31,R2,S1,Type1,GRE2,RA_RO1
National Yang Ming Chiao Tung University,2022,268,https://www.topuniversities.com/universities/national-yang-ming-chiao-tung-university,Taiwan,,Asia,Public,Very High,8.0,"1,475",L,"2,112",Not Applicable,Not Applicable,7.5,105,2.9000000000000004,32868,23.30000000000002,100269,CU15,R3,S2,Type2,GRE2,RA_RO1
The University of Arizona,2022,268,https://www.topuniversities.com/universities/university-arizona,United States,Tucson,North America,Public,Very High,6.0,"3,526",XL,"5,724",Yes,333,8.5,108,2.6,46811,31.400000000000027,100270,CU1,R1,S4,Type2,GRE3,RA_RO1
Technical University of Darmstadt,2022,269,https://www.topuniversities.com/universities/technical-university-darmstadt,Germany,Darmstadt,Europe,Public,Very High,20.0,"3,979",L,804,Not Applicable,Not Applicable,7.5,93,3.3000000000000007,28278,9.800000000000006,100271,CU12,R2,S2,Type2,GRE2,RA_RO1
Beijing Normal University ,2022,270,https://www.topuniversities.com/universities/beijing-normal-university,China (Mainland),Beijing,Asia,Public,Very High,11.0,"3,288",L,"2,098",Not Applicable,Not Applicable,6.5,98,3.3000000000000007,52413,4.000000000000001,100272,CU5,R3,S2,Type2,GRE2,RA_RO1
Heriot-Watt University,2022,270,https://www.topuniversities.com/universities/heriot-watt-university,United Kingdom,Edinburgh,Europe,Public,Very High,12.0,"3,536",M,806,Not Applicable,Not Applicable,7.5,113,3.3000000000000007,52129,47.20000000000004,100273,CU2,R2,S1,Type2,GRE2,RA_RO1
Dalhousie University,2022,272,https://www.topuniversities.com/universities/dalhousie-university,Canada,Halifax,North America,Public,Very High,14.0,"4,483",L,"1,150",Not Applicable,Not Applicable,8.0,105,2.9000000000000004,66927,27.70000000000002,100274,CU8,R1,S2,Type2,GRE2,RA_RO1
Tomsk State University,2022,272,https://www.topuniversities.com/universities/tomsk-state-university,Russia,Tomsk,Europe,Public,Very High,5.0,"2,828",M,"1,742",Not Applicable,Not Applicable,8.0,108,3.3000000000000007,33277,44.70000000000004,100275,CU18,R2,S1,Type2,GRE2,RA_RO1
University of Surrey,2022,272,https://www.topuniversities.com/universities/university-surrey,United Kingdom,Guildford,Europe,Public,Very High,13.0,"5,556",L,"1,221",Not Applicable,Not Applicable,6.5,100,2.8000000000000003,52940,37.20000000000003,100276,CU2,R2,S2,Type2,GRE2,RA_RO1
Southern University of Science and Technology,2022,275,https://www.topuniversities.com/universities/southern-university-science-technology,China (Mainland),,Asia,Public,Very High,5.0,88,M,981,Not Applicable,Not Applicable,8.5,107,3.0000000000000004,61817,37.80000000000003,100277,CU5,R3,S1,Type2,GRE2,RA_RO1
Tufts University,2022,275,https://www.topuniversities.com/universities/tufts-university,United States,Medford,North America,Private,Very High,8.0,"1,798",M,"1,459",No,Not Required,7.0,108,2.7,56844,14.10000000000001,100278,CU1,R1,S1,Type1,GRE4,RA_RO1
Graz University of Technology,2022,277,https://www.topuniversities.com/universities/graz-university-technology,Austria,Graz,Europe,Public,Very High,5.0,"1,473",M,"1,427",Not Applicable,Not Applicable,6.5,114,2.9000000000000004,52094,33.300000000000026,100279,CU30,R2,S1,Type2,GRE2,RA_RO1
Indian Institute of Technology Kanpur (IITK),2022,277,https://www.topuniversities.com/universities/indian-institute-technology-kanpur-iitk,India,Kanpur,Asia,Public,Very High,13.0,29,M,551,Not Applicable,Not Applicable,7.5,100,3.3000000000000007,66168,22.80000000000002,100280,CU33,R3,S1,Type2,GRE2,RA_RO1
King Saud University,2022,277,https://www.topuniversities.com/universities/king-saud-university,Saudi Arabia,Riyadh,Asia,Public,Very High,9.0,"3,896",XL,"4,216",Not Applicable,Not Applicable,9.0,101,2.6,46058,27.100000000000023,100281,CU26,R3,S4,Type2,GRE2,RA_RO1
Indian Institute of Technology Kharagpur (IIT-KGP),2022,280,https://www.topuniversities.com/universities/indian-institute-technology-kharagpur-iit-kgp,India,Kharagpur,Asia,Public,Very High,15.0,27,M,770,Not Applicable,Not Applicable,8.5,109,2.7,63748,46.80000000000004,100282,CU33,R3,S1,Type2,GRE2,RA_RO1
Bauman Moscow State Technical University,2022,281,https://www.topuniversities.com/universities/bauman-moscow-state-technical-university,Russia,Moscow,Europe,Public,Very High,4.0,"2,370",L,"4,349",Not Applicable,Not Applicable,9.0,107,2.5,64339,11.800000000000008,100283,CU18,R2,S2,Type2,GRE2,RA_RO1
Universität Innsbruck,2022,281,https://www.topuniversities.com/universities/universitat-innsbruck,Austria,Innsbruck,Europe,Public,High,8.0,"6,323",L,"1,769",Not Applicable,Not Applicable,6.5,100,2.9000000000000004,44296,21.200000000000017,100284,CU30,R2,S2,Type2,GRE2,RA_RO3
Deakin University,2022,283,https://www.topuniversities.com/universities/deakin-university,Australia,Geelong,Oceania,Public,Very High,23.0,"10,684",XL,"1,851",Not Applicable,Not Applicable,6.0,110,2.5,45901,19.200000000000014,100285,CU9,R4,S4,Type2,GRE2,RA_RO1
Massey University,2022,284,https://www.topuniversities.com/universities/massey-university,New Zealand,Palmerston North,Oceania,Public,Very High,9.0,"4,836",M,"1,209",Not Applicable,Not Applicable,9.0,97,3.2000000000000006,31769,22.200000000000017,100286,CU20,R4,S1,Type2,GRE2,RA_RO1
University of Illinois at Chicago (UIC),2022,285,https://www.topuniversities.com/universities/university-illinois-chicago-uic,United States,Chicago,North America,Public,Very High,10.0,"3,425",L,"2,808",Optional,325,6.5,95,2.9000000000000004,39244,41.000000000000036,100287,CU1,R1,S2,Type2,GRE1,RA_RO1
University of Tsukuba,2022,285,https://www.topuniversities.com/universities/university-tsukuba,Japan,Tsukuba City,Asia,Public,Very High,8.0,"2,358",L,"2,073",Not Applicable,Not Applicable,8.5,91,3.1000000000000005,50531,45.60000000000004,100288,CU7,R3,S2,Type2,GRE2,RA_RO1
Hong Kong Baptist University,2022,287,https://www.topuniversities.com/universities/hong-kong-baptist-university,Hong Kong SAR,Hong Kong,Asia,Public,Very High,9.0,"4,704",M,980,Not Applicable,Not Applicable,6.0,109,2.8000000000000003,49343,10.800000000000008,100289,CU6,R3,S1,Type2,GRE2,RA_RO1
United Arab Emirates University,2022,288,https://www.topuniversities.com/universities/united-arab-emirates-university,United Arab Emirates,Al Ain,Asia,Public,High,8.0,"1,238",M,919,Not Applicable,Not Applicable,6.0,101,2.9000000000000004,36040,45.60000000000004,100290,CU34,R3,S1,Type2,GRE2,RA_RO3
Griffith University,2022,290,https://www.topuniversities.com/universities/griffith-university,Australia,Nathan,Oceania,Public,Very High,17.0,"5,875",XL,"1,918",Not Applicable,Not Applicable,7.0,99,3.2000000000000006,65255,33.50000000000003,100291,CU9,R4,S4,Type2,GRE2,RA_RO1
Moscow Institute of Physics and Technology (MIPT / Moscow Phystech),2022,290,https://www.topuniversities.com/universities/moscow-institute-physics-technology-mipt-moscow-phystech,Russia,Dolgoprudny,Europe,Public,Very High,5.0,"1,153",M,"1,110",Not Applicable,Not Applicable,7.5,98,3.1000000000000005,64468,48.90000000000004,100292,CU18,R2,S1,Type2,GRE2,RA_RO1
Universitas Indonesia,2022,290,https://www.topuniversities.com/universities/universitas-indonesia,Indonesia,Depok,Asia,Public,High,10.0,"1,412",XL,"4,210",Not Applicable,Not Applicable,9.0,109,2.5,63240,19.800000000000015,100293,CU42,R3,S4,Type2,GRE2,RA_RO3
Université Paris 1 Panthéon-Sorbonne,2022,290,https://www.topuniversities.com/universities/universite-paris-1-pantheon-sorbonne,France,Paris,Europe,Public,Very High,21.0,"7,257",XL,"1,679",Not Applicable,Not Applicable,8.0,93,3.400000000000001,30928,48.40000000000004,100294,CU11,R2,S4,Type2,GRE2,RA_RO1
Xi’an Jiaotong University,2022,290,https://www.topuniversities.com/universities/xian-jiaotong-university,China (Mainland),Xi'an,Asia,Public,Very High,12.0,"2,266",XL,"3,729",Not Applicable,Not Applicable,7.0,109,2.5,56499,32.90000000000003,100295,CU5,R3,S4,Type2,GRE2,RA_RO1
Belarusian State University,2022,295,https://www.topuniversities.com/universities/belarusian-state-university,Belarus,Minsk,Europe,Public,Very High,5.0,"4,264",L,"4,173",Not Applicable,Not Applicable,8.0,102,3.400000000000001,47842,27.100000000000023,100296,CU44,R2,S2,Type2,GRE2,RA_RO1
University of Porto,2022,295,https://www.topuniversities.com/universities/university-porto,Portugal,Porto,Europe,Public,Very High,14.0,"3,783",L,"2,028",Not Applicable,Not Applicable,8.5,113,3.3000000000000007,55039,26.70000000000002,100297,CU45,R2,S2,Type2,GRE2,RA_RO1
University of Turku,2022,295,https://www.topuniversities.com/universities/university-turku,Finland,Turku,Europe,Public,Very High,8.0,604,L,"1,505",Not Applicable,Not Applicable,8.0,112,2.7,30408,28.600000000000023,100298,CU24,R2,S2,Type2,GRE2,RA_RO1
Simon Fraser University,2022,298,https://www.topuniversities.com/universities/simon-fraser-university,Canada,Burnaby,North America,Public,Very High,21.0,"8,051",L,"1,193",Not Applicable,Not Applicable,9.0,106,2.9000000000000004,46462,32.40000000000003,100299,CU8,R1,S2,Type2,GRE2,RA_RO1
University College Cork,2022,298,https://www.topuniversities.com/universities/university-college-cork,Ireland,Cork,Europe,Public,High,10.0,"3,002",L,"1,619",Not Applicable,Not Applicable,8.0,108,2.9000000000000004,62998,17.80000000000001,100300,CU22,R2,S2,Type2,GRE2,RA_RO3
North Carolina State University,2022,300,https://www.topuniversities.com/universities/north-carolina-state-university,United States,Raleigh,North America,Public,Very High,15.0,"3,156",L,"1,944",No,Not Required,6.5,101,2.7,64200,5.8000000000000025,100301,CU1,R1,S2,Type2,GRE4,RA_RO1
